Name,Platform
Wii Sports,Wii
Super Mario Bros.,NES
Mario Kart Wii,Wii
Wii Sports Resort,Wii
Pokemon Red/Pokemon Blue,GB
Tetris,GB
New Super Mario Bros.,DS
Wii Play,Wii
New Super Mario Bros. Wii,Wii
Duck Hunt,NES
Nintendogs,DS
Mario Kart DS,DS
Pokemon Gold/Pokemon Silver,GB
Wii Fit,Wii
Wii Fit Plus,Wii
Kinect Adventures!,X360
Grand Theft Auto V,PS3
Grand Theft Auto: San Andreas,PS2
Super Mario World,SNES
Brain Age: Train Your Brain in Minutes a Day,DS
Pokemon Diamond/Pokemon Pearl,DS
Super Mario Land,GB
Super Mario Bros. 3,NES
Grand Theft Auto V,X360
Grand Theft Auto: Vice City,PS2
Pokemon Ruby/Pokemon Sapphire,GBA
Pokemon Black/Pokemon White,DS
Brain Age 2: More Training in Minutes a Day,DS
Gran Turismo 3: A-Spec,PS2
Call of Duty: Modern Warfare 3,X360
Pokémon Yellow: Special Pikachu Edition,GB
Call of Duty: Black Ops,X360
Pokemon X/Pokemon Y,3DS
Call of Duty: Black Ops 3,PS4
Call of Duty: Black Ops II,PS3
Call of Duty: Black Ops II,X360
Call of Duty: Modern Warfare 2,X360
Call of Duty: Modern Warfare 3,PS3
Grand Theft Auto III,PS2
Super Smash Bros. Brawl,Wii
Call of Duty: Black Ops,PS3
Animal Crossing: Wild World,DS
Mario Kart 7,3DS
Halo 3,X360
Grand Theft Auto V,PS4
Pokemon HeartGold/Pokemon SoulSilver,DS
Super Mario 64,N64
Gran Turismo 4,PS2
Super Mario Galaxy,Wii
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS
Super Mario Land 2: 6 Golden Coins,GB
Grand Theft Auto IV,X360
Gran Turismo,PS
Super Mario 3D Land,3DS
Gran Turismo 5,PS3
Call of Duty: Modern Warfare 2,PS3
Grand Theft Auto IV,PS3
Super Mario All-Stars,SNES
Pokemon FireRed/Pokemon LeafGreen,GBA
Super Mario 64,DS
Just Dance 3,Wii
Call of Duty: Ghosts,X360
Halo: Reach,X360
Mario Kart 64,N64
New Super Mario Bros. 2,3DS
Halo 4,X360
Final Fantasy VII,PS
Call of Duty: Ghosts,PS3
Just Dance 2,Wii
Gran Turismo 2,PS
Call of Duty 4: Modern Warfare,X360
Donkey Kong Country,SNES
Minecraft,X360
Animal Crossing: New Leaf,3DS
Mario Party DS,DS
The Elder Scrolls V: Skyrim,X360
Super Mario Kart,SNES
FIFA 16,PS4
Wii Party,Wii
Halo 2,XB
Mario Party 8,Wii
Pokemon Black 2/Pokemon White 2,DS
FIFA Soccer 13,PS3
The Sims 3,PC
GoldenEye 007,N64
Mario & Sonic at the Olympic Games,Wii
Final Fantasy X,PS2
Final Fantasy VIII,PS
Pokémon Platinum Version,DS
Pac-Man,2600
Grand Theft Auto: Liberty City Stories,PSP
Super Mario Galaxy 2,Wii
Star Wars Battlefront (2015),PS4
Call of Duty: Advanced Warfare,PS4
The Legend of Zelda: Ocarina of Time,N64
Crash Bandicoot 2: Cortex Strikes Back,PS
Super Mario Bros. 2,NES
Super Smash Bros. for Wii U and 3DS,3DS
Call of Duty: World at War,X360
Battlefield 3,X360
The Legend of Zelda: Twilight Princess,Wii
Call of Duty: Black Ops 3,XOne
Just Dance,Wii
Battlefield 3,PS3
Need for Speed Underground,PS2
Tekken 3,PS
Crash Bandicoot 3: Warped,PS
Super Smash Bros. Melee,GC
Mario Kart 8,WiiU
Fallout 4,PS4
Mario Kart: Double Dash!!,GC
Just Dance 4,Wii
FIFA 14,PS3
Need for Speed Underground 2,PS2
Medal of Honor: Frontline,PS2
Uncharted 3: Drake's Deception,PS3
Crash Bandicoot,PS
Zumba Fitness,Wii
Gears of War 2,X360
Uncharted 2: Among Thieves,PS3
Call of Duty 4: Modern Warfare,PS3
FIFA 12,PS3
Big Brain Academy,DS
Red Dead Redemption,PS3
FIFA 15,PS4
Donkey Kong Country Returns,Wii
The Elder Scrolls V: Skyrim,PS3
The Legend of Zelda,NES
Assassin's Creed III,PS3
Halo: Combat Evolved,XB
Pokémon Emerald Version,GBA
Kingdom Hearts,PS2
Pokémon Crystal Version,GB
Halo 3: ODST,X360
Red Dead Redemption,X360
Super Mario Sunshine,GC
Street Fighter II: The World Warrior,SNES
World of Warcraft,PC
Driver,PS
Kinect Sports,X360
Gears of War 3,X360
Gears of War,X360
Metal Gear Solid 2: Sons of Liberty,PS2
Sonic the Hedgehog 2,GEN
Metal Gear Solid 4: Guns of the Patriots,PS3
Metal Gear Solid,PS
The Last of Us,PS3
Final Fantasy XII,PS2
LittleBigPlanet,PS3
Dragon Quest IX: Sentinels of the Starry Skies,DS
LEGO Star Wars: The Complete Saga,Wii
Resident Evil 2,PS
Tekken 2,PS
Cooking Mama,DS
Destiny,PS4
Tetris,NES
Assassin's Creed II,PS3
Super Smash Bros.,N64
Assassin's Creed,X360
Batman: Arkham City,PS3
Forza Motorsport 3,X360
Monster Hunter Freedom Unite,PSP
Super Mario Advance,GBA
Mario Kart: Super Circuit,GBA
Super Mario World,GBA
Pokemon Stadium,N64
Call of Duty: World at War,PS3
Crash Bandicoot: The Wrath of Cortex,PS2
Minecraft,PS3
Final Fantasy XIII,PS3
Dr. Mario,GB
Pokemon Pinball,GB
Assassin's Creed III,X360
Final Fantasy IX,PS
Final Fantasy X-2,PS2
Donkey Kong 64,N64
Assassin's Creed II,X360
Professor Layton and the Curious Village,DS
Tomb Raider II,PS
Madden NFL 2004,PS2
Dragon Quest VIII: Journey of the Cursed King,PS2
Diablo III,PC
Super Mario Bros. 3,GBA
New Super Mario Bros. U,WiiU
Super Mario Land 3: Wario Land,GB
FIFA Soccer 13,X360
The Legend of Zelda: Phantom Hourglass,DS
Donkey Kong Country 2: Diddy's Kong Quest,SNES
Tomodachi Life,3DS
Mario & Sonic at the Olympic Games,DS
Medal of Honor: Rising Sun,PS2
Kirby's Dream Land,GB
Fable III,X360
Call of Duty: Advanced Warfare,XOne
Microsoft Flight Simulator,PC
Guitar Hero II,PS2
Resident Evil 5,PS3
Grand Theft Auto V,XOne
Grand Theft Auto: Vice City Stories,PSP
FIFA Soccer 11,PS3
Super Mario Bros.,GB
Resident Evil,PS
Tony Hawk's Pro Skater,PS
Super Smash Bros. for Wii U and 3DS,WiiU
Warzone 2100,PS
Spyro the Dragon,PS
Link's Crossbow Training,Wii
Guitar Hero III: Legends of Rock,PS2
Fallout 3,X360
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS
Uncharted: Drake's Fortune,PS3
Madden NFL 06,PS2
LEGO Star Wars: The Complete Saga,DS
Diddy Kong Racing,N64
Monster Hunter Freedom 3,PSP
Dr. Mario,NES
God of War III,PS3
StarCraft II: Wings of Liberty,PC
Assassin's Creed,PS3
FIFA 15,PS3
Crash Team Racing,PS
FIFA 17,PS4
Batman: Arkham City,X360
Driver 2,PS
The Simpsons: Hit & Run,PS2
Tony Hawk's Pro Skater 2,PS
Animal Crossing: City Folk,Wii
The Lord of the Rings: The Two Towers,PS2
Forza Motorsport 4,X360
Tomb Raider,PS
Guitar Hero III: Legends of Rock,Wii
The Legend of Zelda: A Link to the Past,SNES
The Legend of Zelda: The Wind Waker,GC
Mario & Sonic at the Olympic Winter Games,Wii
Luigi's Mansion: Dark Moon,3DS
Splatoon,WiiU
The Last of Us,PS4
Guitar Hero III: Legends of Rock,X360
Madden NFL 2005,PS2
Pitfall!,2600
Madden NFL 07,PS2
Spider-Man: The Movie,PS2
Dragon Quest VII: Warriors of Eden,PS
Uncharted: The Nathan Drake Collection,PS4
Call of Duty: Advanced Warfare,PS3
God of War,PS2
Nintendo Land,WiiU
Michael Jackson: The Experience,Wii
Tony Hawk's Pro Skater 3,PS2
Winning Eleven: Pro Evolution Soccer 2007,PS2
The Elder Scrolls IV: Oblivion,X360
Zelda II: The Adventure of Link,NES
Need for Speed: Most Wanted,PS2
Resistance: Fall of Man,PS3
Sonic the Hedgehog,GEN
Kingdom Hearts II,PS2
FIFA 14,X360
Call of Duty: Advanced Warfare,X360
Asteroids,2600
Fable II,X360
Halo 5: Guardians,XOne
Super Mario 3D World,WiiU
Batman: Arkham Asylum,PS3
Assassin's Creed: Revelations,PS3
Namco Museum,GBA
Metal Gear Solid 3: Snake Eater,PS2
Daxter,PSP
Warcraft II: Tides of Darkness,PC
The Legend of Zelda: Ocarina of Time,3DS
FIFA Soccer 06,PS2
EyeToy Play,PS2
Uncharted 4: A Thief's End,PS4
Gran Turismo 5 Prologue,PS3
Assassin's Creed: Revelations,X360
Street Fighter IV,PS3
FIFA 12,X360
Teenage Mutant Ninja Turtles,NES
Excitebike,NES
Frogger,PS
Madden NFL 2003,PS2
Watch Dogs,PS4
Half-Life,PC
Super Mario World 2: Yoshi's Island,SNES
FIFA Soccer 07,PS2
The Legend of Zelda: Skyward Sword,Wii
Street Fighter II Turbo,SNES
Carnival Games,Wii
Fallout 4,XOne
World of Warcraft: The Burning Crusade,PC
Fallout: New Vegas,X360
God of War II,PS2
Forza Motorsport 2,X360
World Soccer Winning Eleven 9,PS2
Namco Museum Vol.3,PS
Tekken Tag Tournament,PS2
Far Cry 4,PS4
Star Fox 64,N64
Minecraft,PS4
Golf,NES
Fallout 3,PS3
Professor Layton and the Diabolical Box,DS
Left 4 Dead 2,X360
Namco Museum: 50th Anniversary,PS2
EA Sports Active,Wii
Assassin's Creed: Unity,PS4
Donkey Kong Land,GB
Tony Hawk's Underground,PS2
Assassin's Creed IV: Black Flag,PS3
Monster Hunter 4 Ultimate,3DS
MotorStorm,PS3
The Elder Scrolls V: Skyrim,PC
Tekken 5,PS2
Dragon Warrior III,NES
Sports Champions,PS3
NBA 2K16,PS4
World Soccer Winning Eleven 8 International,PS2
Flash Focus: Vision Training in Minutes a Day,DS
Namco Museum Vol.1,PS
The Legend of Zelda: Link's Awakening,GB
Mario & Luigi: Bowser's Inside Story,DS
Big Brain Academy: Wii Degree,Wii
Nintendogs + cats,3DS
Batman: Arkham Knight,PS4
Mario & Sonic at the London 2012 Olympic Games,Wii
LEGO Indiana Jones: The Original Adventures,X360
Resident Evil Director's Cut,PS
Ratchet & Clank: Size Matters,PSP
Just Dance 2014,Wii
The Sims: Unleashed,PC
Super Paper Mario,Wii
Harry Potter and the Sorcerer's Stone,PS
The Witcher 3: Wild Hunt,PS4
Resident Evil 3: Nemesis,PS
Spyro: Year of the Dragon,PS
FIFA Soccer 2005,PS2
Pokémon Trading Card Game,GB
Battlefield 4,PS3
MySims,DS
Friend Collection,DS
Tony Hawk's Pro Skater 4,PS2
Midnight Club 3: DUB Edition,PSP
Banjo-Kazooie,N64
SOCOM: U.S. Navy SEALs,PS2
Guitar Hero: World Tour,Wii
Gran Turismo 6,PS3
Jak and Daxter: The Precursor Legacy,PS2
Pokemon Snap,N64
FIFA Soccer 10,PS3
Pro Evolution Soccer 2008,PS2
Call of Duty: Ghosts,PS4
Resident Evil 4,PS2
Tom Clancy's The Division,PS4
Star Wars: Battlefront,PS2
Doom II: Hell on Earth,PC
The Simpsons: Road Rage,PS2
Cooking Mama 2: Dinner With Friends,DS
Luigi's Mansion,GC
Star Wars: Battlefront II,PS2
WWF SmackDown!,PS
Croc: Legend of the Gobbos,PS
Grand Theft Auto: Liberty City Stories,PS2
The Getaway,PS2
Tomb Raider III: Adventures of Lara Croft,PS
James Bond 007: Agent Under Fire,PS2
LEGO Star Wars: The Video Game,PS2
Battlefield 4,X360
FIFA Soccer 11,X360
Rugrats in Paris: The Movie,PS
Spyro 2: Ripto's Rage!,PS
Left 4 Dead,X360
Mario & Sonic at the Olympic Winter Games,DS
Resident Evil 5,X360
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES
Assassin's Creed: Brotherhood,X360
Kung Fu,NES
Batman: Arkham Asylum,X360
Clubhouse Games,DS
FIFA Soccer 2004,PS2
Star Wars Battlefront (2015),XOne
Battlefield: Bad Company 2,X360
Guitar Hero: On Tour,DS
Assassin's Creed: Unity,XOne
Far Cry 3,PS3
Monster Hunter 4,3DS
Borderlands,X360
Tekken 4,PS2
Battlefield 4,PS4
LittleBigPlanet 2,PS3
Grand Theft Auto 2,PS
Final Fantasy III,SNES
Spider-Man 2,PS2
F-1 Race,GB
FIFA Soccer 2003,PS2
Crash Bash,PS
LEGO Batman: The Videogame,X360
Metal Gear Solid V: The Phantom Pain,PS4
The Legend of Zelda: Spirit Tracks,DS
WWF War Zone,PS
The Legend of Zelda: Majora's Mask,N64
Professor Layton and the Unwound Future,DS
Rugrats: Search For Reptar,PS
Assassin's Creed IV: Black Flag,X360
English Training: Have Fun Improving Your Skills!,DS
James Bond 007: Nightfire,PS2
Ratchet & Clank,PS2
Mario Party 9,Wii
Star Wars Episode III: Revenge of the Sith,PS2
Max Payne,PS2
The Lord of the Rings: The Return of the King,PS2
Assassin's Creed Syndicate,PS4
Destiny,XOne
True Crime: Streets of LA,PS2
Wii Music,Wii
Gran Turismo (PSP),PSP
Monster Hunter X,3DS
Tekken,PS
FIFA 16,XOne
L.A. Noire,PS3
Madden NFL 16,PS4
Yokai Watch 2 Ganso/Honke,3DS
007: Tomorrow Never Dies,PS
Baseball,NES
Killer Instinct,SNES
WWF SmackDown! 2: Know Your Role,PS
Crisis Core: Final Fantasy VII,PSP
God of War: Chains of Olympus,PSP
Dragon Quest VI: Maboroshi no Daichi,SNES
Dance Central,X360
Enter the Matrix,PS2
Super Mario Maker,WiiU
Fallout: New Vegas,PS3
LEGO Batman: The Videogame,Wii
Rhythm Heaven,DS
Ace Combat 04: Shattered Skies,PS2
Club Penguin: Elite Penguin Force,DS
Animal Crossing,GC
LEGO Batman: The Videogame,DS
Sonic Rush,DS
Resident Evil 6,PS3
Halo: The Master Chief Collection,XOne
FIFA Soccer 08,PS2
Spider-Man,PS
Need for Speed III: Hot Pursuit,PS
Star Wars Episode I Racer,N64
Personal Trainer: Cooking,DS
The Elder Scrolls IV: Oblivion,PS3
Dragon Warrior IV,NES
Heavy Rain,PS3
Mass Effect 2,X360
FIFA 15,X360
Dragon Ball Z: Budokai,PS2
Madden NFL 2002,PS2
World Class Track Meet,NES
Borderlands 2,X360
The Legend of Zelda: A Link Between Worlds,3DS
Donkey Kong,GB
The Sims: Vacation,PC
Mass Effect 3,X360
Kung Fu Panda,X360
Far Cry 3,X360
Epic Mickey,Wii
Saints Row 2,X360
Rayman,PS
Killzone 2,PS3
Tom Clancy's Splinter Cell,XB
Mike Tyson's Punch-Out!!,NES
WWE SmackDown! Shut Your Mouth,PS2
Gears of War: Ultimate Edition,XOne
NBA 2K13,X360
Dragon Ball Z: Budokai Tenkaichi 3,PS2
wwe Smackdown vs. Raw 2006,PS2
Middle-Earth: Shadow of Mordor,PS4
Star Fox,SNES
The Sims: Livin Large,PC
World Soccer Winning Eleven 6 International,PS2
Devil May Cry,PS2
Animal Crossing: Happy Home Designer,3DS
Battlefield: Bad Company 2,PS3
The Sims 4,PC
Star Wars: The Old Republic,PC
Sonic Heroes,PS2
